NYC Hate Crime Report,,,,,
Arrest Statistics involving Hate Crime Incidents ,,,,,
"by Arrestee Gender, Race, Age and Bias Motivation",,,,,
CY2020,,,,,
,,,,,
Number,Precinct,Gender,Race,Age,Bias-Motivation
1,005,MALE,BLACK HISPANIC,38,ANTI-ASIAN
2,005,MALE,WHITE,32,ANTI-JEWISH
3,006,MALE,BLACK,38,ANTI-ASIAN
4,006,MALE,BLACK,37,ANTI-MALE HOMOSEXUAL(GAY)
5,007,FEMALE,BLACK,50,ANTI-ASIAN
6,007,MALE,WHITE,40,ANTI-JEWISH
7,007,MALE,WHITE HISPANIC,26,ANTI-LGBT(MIXED GROUP)
8,007,MALE,BLACK,30,ANTI-WHITE
9,007,MALE,WHITE,15,OTHER
10,009,MALE,WHITE HISPANIC,26,ANTI-BLACK
11,010,MALE,WHITE,50,ANTI-ASIAN
12,010,MALE,BLACK,41,ANTI-MALE HOMOSEXUAL(GAY)
13,010,MALE,BLACK,33,ANTI-MALE HOMOSEXUAL(GAY)
14,013,FEMALE,WHITE,33,ANTI-ASIAN
15,018,MALE,BLACK,55,ANTI-JEWISH
16,018,MALE,BLACK,25,ANTI-MALE HOMOSEXUAL(GAY)
17,019,MALE,ASIAN / PACIFIC ISLANDER,53,ANTI-JEWISH
18,023,MALE,WHITE HISPANIC,13,ANTI-ASIAN
19,023,MALE,WHITE HISPANIC,13,ANTI-ASIAN
20,023,MALE,ASIAN / PACIFIC ISLANDER,34,ANTI-BLACK
21,028,FEMALE,BLACK,19,ANTI-ASIAN
22,030,FEMALE,WHITE HISPANIC,24,ANTI-LGBT(MIXED GROUP)
23,032,MALE,BLACK,25,ANTI-WHITE
24,040,MALE,BLACK HISPANIC,39,ANTI-ASIAN
25,040,MALE,BLACK,28,ANTI-MALE HOMOSEXUAL(GAY)
26,040,MALE,BLACK,35,ANTI-MALE HOMOSEXUAL(GAY)
27,044,FEMALE,BLACK,15,ANTI-ASIAN
28,044,FEMALE,BLACK,15,ANTI-ASIAN
